Fecha,Division,Total,Variacion,Porcentaje,IPC
2025-05-25 21:12,Alimentos y bebidas no alcohólicas,0.0,,,0
2025-05-25 21:12,Pan y cereales,0.0,,,0
2025-05-25 21:12,Bebidas alcohólicas y tabaco,19660.0,,,0
2025-05-25 21:12,Panificados,5768.0,,,0
2025-05-25 21:12,Almacén,43138.0,,,0
2025-05-25 21:12,Frescos,174250.0,,,0
2025-05-25 21:12,Bebidas,0.0,,,0
2025-05-25 21:12,Prendas de vestir y calzado,0.0,,,0
2025-05-25 21:12,"Vivienda, agua, electricidad, gas y otros combustibles",0.0,,,0
2025-05-25 21:12,"Muebles, artículos para el hogar y para la conservación ordinaria del hogar",0.0,,,0
2025-05-25 21:12,Salud,0.0,,,0
2025-05-25 21:12,Transporte,0.0,,,0
2025-05-25 21:12,Comunicación,0.0,,,0
2025-05-25 21:12,Recreación y cultura,0.0,,,0
2025-05-25 21:12,Educación,0.0,,,0
2025-05-25 21:12,Restaurantes y hoteles,0.0,,,0
2025-05-25 21:12,Bienes y servicios diversos,0.0,,,0
